省,项目名称，项目对应省
beijing1,17,安徽,13,19,15,10,11
hubei1,16,广东,18,23,18,14,15
zhejiang1,17,安徽,17,24,15,14,11
sichuan1,16,广东,18,27,18,15,15
shanghai1,18,江苏,19,26,19,14,14
guangdong1,17,安徽,17,24,17,13,12
jiangsu1,17,安徽,13,22.5,16,11,12
hunan1,17,安徽,20,30,20,11,10
chongqing1,18,江苏,0,0,0,0,0
yunnan1,17,安徽,15,30,15,10,15
gansu1,16,广东,20,29,20,15,14
shandong1,17,安徽,19,28,19,14,15
liaoning1,16,广东,18,16,15,11,12
zhejiang1,18,江苏,17,22,15,12,10
jiangsu1,18,江苏,0,0,0,0,0
guizhou1,17,安徽,18,27,18,13,14
beijing1,18,江苏,16,19,16,11,12
jiangxi1,17,安徽,19,25,18,13,12
yunnan1,18,江苏,20,15,15,10,10
jilin1,18,江苏,12,10,14,11,11
guangdong1,18,江苏,17,24,16,13,11
anhui1,18,江苏,18,20,15,10,11
gansu1,17,安徽,19,30,20,15,14
tianjing1,18,江苏,15,24,18,14,13
hubei1,17,安徽,18,25,18,14,15
chongqing1,19,广东,0,0,0,0,0
henan1,18,江苏,17,26,18,14,14
shanghai1,19,广东,18,26,17,14,13
sichuan1,17,安徽,19,28,19,15,15
fujian1,18,江苏,15,16,15,12,10
hunan1,18,江苏,20,25,20,15,10
shandong1,18,江苏,17,26,18,13,14
liaoning1,17,安徽,15,17,15,10,11
zhejiang1,19,广东,17,22,15,12,11
jiangxi1,18,江苏,18,23,18,12,10
yunnan1,19,广东,15,25,10,10,15
jilin1,19,广东,16,14,11,12,11
tianjing1,19,广东,14,25,17,12,13
hunan1,19,广东,20,25,15,10,10
henan1,19,广东,13,24,14,12,13
gansu1,18,江苏,20,29,20,14,14
guangdong1,19,广东,0,0,0,0,0
hubei1,18,江苏,16,25,18,14,15
chongqing1,20,吉林,0,0,0,0,0
beijing1,19,广东,15,20,15,10,11
fujian1,19,广东,16,15,12,10,10
anhui1,19,广东,15,22,14,10,10
sichuan1,18,江苏,17,27,19,13,15
jiangsu1,19,广东,14.6,21,15,11,12
liaoning1,18,江苏,15,18,16,12,12
shandong1,19,广东,13,19,18,13,11
shanghai1,20,吉林,17,25,18,13,13
guizhou1,18,江苏,17,25,16,14,14
jiangxi1,19,广东,18,24,17,13,13
zhejiang1,20,吉林,16,23,15,12,10
chongqing2,1,浙江,0,0,0,0,0,0,0,0,0
gansu1,19,广东,19,30,20,14,15
hubei1,19,广东,16,26,17,14,14
yunnan1,20,吉林,15,25,15,10,15
hunan1,20,吉林,20,20,15,15,10
tianjing1,20,吉林,13,23,16,12,11
guangdong1,20,吉林,16,22,16,11,11
henan1,20,吉林,13,22,14,11,11
jilin1,20,吉林,0,0,0,0,0
shandong1,20,吉林,18,28,18,14,14
beijing1,20,吉林,15,19,15,9,11
anhui1,20,吉林,15,19,19,11,10
sichuan1,19,广东,18,28,18,13,14
shanghai2,1,浙江,19,9,8,9,9,9,9,9,9
liaoning1,19,广东,18,25,15,12,12
jiangsu1,20,吉林,13.3,22,16,12,12
guizhou1,19,广东,15,21,14,14,12
fujian1,20,吉林,12,15,12,10,10
chongqing2,2,湖北,0,0,0,0,0,0,0,0,0
jiangxi1,20,吉林,20,25,18,12,12
zhejiang2,1,浙江,0,0,0,0,0,0,0,0,0
gansu1,20,吉林,20,29,20,14,15
tianjing2,1,浙江,16,8,8,7,7,8,9,10,6
yunnan2,1,浙江,10,6,8,6,5,8,6,10,8
hunan2,1,浙江,20,5,10,10,5,10,10,10,10
shandong2,1,浙江,17,8,7,8,8,6,8,6,6
henan2,1,浙江,18,7,8,8,9,9,9,9,9
jilin2,1,浙江,20,7.5,7,6.5,7,7,6.8,6.5,7.5
beijing2,1,浙江,15,7,5,6,7,7,6,7,8
jiangsu2,1,浙江,15,7,7,7,7,7,7,7,5
guangdong2,1,浙江,16,8,8,7,8,8,8,8,8
hubei1,20,吉林,18,24,18,13,15
shanghai2,2,湖北,19,9,9,9,9,10,9,10,10
guizhou1,20,吉林,17,24,16,13,13
anhui2,1,浙江,18,8,9,7,8,6,8,8,8
sichuan1,20,吉林,18,27,18,15,14
jiangxi2,1,浙江,20,9,10,9,8,9,8,8,9
liaoning1,20,吉林,17,18,16,12,12
zhejiang2,2,湖北,14,8,8,7,8,8,8,8,7
chongqing2,3,江苏,0,0,0,0,0,0,0,0,0
fujian2,1,浙江,17,7,7,8,7,6,8,6,7
tianjing2,2,湖北,15,9,10,9,8,8,9,8,8
gansu2,1,浙江,20,9,10,10,10,10,10,10,9
shandong2,2,湖北,15,8,7,6,7,6,6,6,6
beijing2,2,湖北,17,7,8,6,7,8,8,8,8
yunnan2,2,湖北,18,8,8,8,8,7,7,10,10
hunan2,2,湖北,20,5,5,10,10,5,10,10,10
jilin2,2,湖北,0,0,0,0,0,0,0,0,0
henan2,2,湖北,18,7,6,7,6,7,6,7,7
jiangsu2,2,湖北,15,7,7,7,7,7,7,7,5
guangdong2,2,湖北,16,7,7,7,7,8,8,8,8
hubei2,1,浙江,18,7,7,8,8,7,9,8,10
guizhou2,1,浙江,18,8,8,8,7,7,8,6,7
shanghai2,3,江苏,19,9,10,9,9,9,10,10,10
liaoning2,1,浙江,20,6,8,7,7,8,7,8,9
zhejiang2,3,江苏,14,8,8,8,8,8,8,7,8
fujian2,2,湖北,15,7,6,8,8,6,9,7,6
jiangxi2,2,湖北,19,9,10,8,8,7,7,8,8
sichuan2,1,浙江,18,9,9,8,8,8,6,6,8
anhui2,2,湖北,16,5,7,7,6,6,6,7.3,7
chongqing2,4,广东,0,0,0,0,0,0,0,0,0
gansu2,2,湖北,20,9,10,10,10,9,10,10,10
tianjing2,3,江苏,17,7,7,8,8,7,8,7,7
jilin2,3,江苏,20,6,6,6.5,6.5,6.5,6.5,6.5,8
